Country,Year,Plastic Waste Generated
Albania,2010,174392.0
Algeria,2010,2374214.0
Angola,2010,235589.0
Anguilla,2010,3654.0
Antigua and Barbuda,2010,43933.0
Argentina,2010,3000178.0
Aruba,2010,34609.0
Australia,2010,1902591.0
Bahamas,2010,132492.0
Bahrain,2010,97743.0
Bangladesh,2010,2422832.0
Barbados,2010,157110.0
Belgium,2010,375730.0
Belize,2010,34568.0
Benin,2010,138896.0
Bermuda,2010,16805.0
Bosnia and Herzegovina,2010,83972.0
Brazil,2010,12271559.0
British Virgin Islands,2010,7447.0
Brunei,2010,9236.0
Bulgaria,2010,153372.0
Cambodia,2010,91405.0
Cameroon,2010,91022.0
Canada,2010,1090326.0
Cape Verde,2010,33815.0
Cayman Islands,2010,13015.0
Channel Islands,2010,38484.0
Chile,2010,664805.0
China,2010,31665388.0
Christmas Island,2010,352.0
Cocos Islands,2010,150.0
Colombia,2010,1075294.0
Comoros,2010,187329.0
Congo,2010,58189.0
Cook Islands,2010,3002.0
Costa Rica,2010,638965.0
Cote d'Ivoire,2010,637420.0
Croatia,2010,402218.0
Cuba,2010,1005222.0
Curacao,2010,36083.0
Cyprus,2010,207924.0
Democratic Republic of Congo,2010,48154.0
Denmark,2010,245324.0
Djibouti,2010,63608.0
Dominica,2010,10393.0
Dominican Republic,2010,1180553.0
Ecuador,2010,936551.0
Egypt,2010,3858944.0
El Salvador,2010,938114.0
Equatorial Guinea,2010,50419.0
Eritrea,2010,56663.0
Estonia,2010,154238.0
Faeroe Islands,2010,12687.0
Falkland Islands,2010,653.0
Fiji,2010,168430.0
Finland,2010,682836.0
France,2010,3302562.0
French Guiana,2010,24038.0
French Polynesia,2010,67912.0
Gabon,2010,46372.0
Gambia,2010,62814.0
Georgia,2010,75049.0
Germany,2010,4279290.0
Ghana,2010,302192.0
Gibraltar,2010,8403.0
Greece,2010,1949146.0
Greenland,2010,14321.0
Grenada,2010,31128.0
Guadeloupe,2010,66848.0
Guam,2010,47884.0
Guatemala,2010,667491.0
Guernsey,2010,14126.0
Guinea,2010,59296.0
Guinea-Bissau,2010,64875.0
Guyana,2010,299542.0
Haiti,2010,819435.0
Honduras,2010,624191.0
Hong Kong,2010,3006548.0
Iceland,2010,81964.0
India,2010,1880559.0
Indonesia,2010,10660505.0
Iran,2010,1304896.0
Iraq,2010,65396.0
Ireland,2010,1604106.0
Israel,2010,1974896.0
Italy,2010,4487743.0
Jamaica,2010,96209.0
Japan,2010,19605620.0
Jordan,2010,7943.0
Kenya,2010,73299.0
Kiribati,2010,9666.0
Kuwait,2010,1567770.0
Latvia,2010,176267.0
Lebanon,2010,365003.0
Liberia,2010,179810.0
Libya,2010,580788.0
Lithuania,2010,58350.0
Macao,2010,94593.0
Madagascar,2010,110174.0
Malaysia,2010,4505717.0
Maldives,2010,126077.0
Malta,2010,86085.0
Marshall Islands,2010,11118.0
Martinique,2010,100946.0
Mauritania,2010,44995.0
Mauritius,2010,287425.0
Mexico,2010,1951785.0
Micronesia (country),2010,15847.0
Monaco,2010,8545.0
Montenegro,2010,37332.0
Montserrat,2010,742.0
Morocco,2010,1250519.0
Mozambique,2010,146655.0
Myanmar,2010,1416164.0
Namibia,2010,22239.0
Nauru,2010,2192.0
Netherlands,2010,3794520.0
Netherlands Antilles,2010,57007.0
New Caledonia,2010,64721.0
New Zealand,2010,1272006.0
Nicaragua,2010,496104.0
Nigeria,2010,2811046.0
Niue,2010,451.0
Norfolk Island,2010,221.0
North Korea,2010,930486.0
Northern Mariana Islands,2010,26665.0
Norway,2010,1151086.0
Oman,2010,217286.0
Pakistan,2010,1491807.0
Palau,2010,3362.0
Palestine,2010,191257.0
Panama,2010,469866.0
Papua New Guinea,2010,281084.0
Peru,2010,1973988.0
Philippines,2010,6237653.0
Poland,2010,315380.0
Portugal,2010,2246907.0
Puerto Rico,2010,1066499.0
Qatar,2010,103786.0
Reunion,2010,116072.0
Romania,2010,35952.0
Russia,2010,1201651.0
Saint Helena,2010,981.0
Saint Kitts and Nevis,2010,23512.0
Saint Lucia,2010,84849.0
Saint Pierre and Miquelon,2010,1478.0
Saint Vincent and the Grenadines,2010,26451.0
Samoa,2010,17190.0
Sao Tome and Principe,2010,16751.0
Saudi Arabia,2010,558246.0
Senegal,2010,831235.0
Seychelles,2010,32535.0
Sierra Leone,2010,116275.0
Singapore,2010,866849.0
Sint Maarten (Dutch part),2010,9393.0
Slovenia,2010,48670.0
Solomon Islands,2010,63294.0
Somalia,2010,320652.0
South Africa,2010,3082909.0
South Korea,2010,4622830.0
Spain,2010,6281173.0
Sri Lanka,2010,5163689.0
Sudan,2010,76987.0
Suriname,2010,65376.0
Sweden,2010,294575.0
Syria,2010,642597.0
Taiwan,2010,5573993.0
Tanzania,2010,155646.0
Thailand,2010,3734630.0
Togo,2010,113404.0
Tokelau,2010,141.0
Tonga,2010,22708.0
Trinidad and Tobago,2010,4880578.0
Tunisia,2010,1043231.0
Turkey,2010,7200576.0
Turks and Caicos Islands,2010,5664.0
Tuvalu,2010,1658.0
Ukraine,2010,696983.0
United Arab Emirates,2010,400371.0
United Kingdom,2010,9253293.0
United States,2010,37729383.0
Uruguay,2010,610711.0
Vanuatu,2010,73933.0
Venezuela,2010,4039014.0
Vietnam,2010,5714578.0
Yemen,2010,618835.0
